Operation, num1, num2, entity1, entity2, raw_cost, v1_cost, v2_cost, unmatch_cost, Entity_type, change?
ns,43,43,public  Anonymous_2.Anonymous_2( Anonymous_2 & ),public  Anonymous_2.Anonymous_2( Anonymous_2 & ),0,0,0,104,Method,0
ns,44,44,public  Anonymous_2.void( void ),public  Anonymous_2.void( void ),0,0,0,87,Method,0
ns,45,69,public ProblemType Anonymous_2.constraint,public ProblemType Anonymous_8.constraint,0,10,10,67,Field,1
ns,46,70,public ProblemType Anonymous_2.derConstraint,public ProblemType Anonymous_8.derConstraint,0,10,10,67,Field,1
ns,47,71,public ProblemType Anonymous_2.derPort,public ProblemType Anonymous_8.derPort,0,10,10,67,Field,1
ns,48,72,public ProblemType Anonymous_2.port,public ProblemType Anonymous_8.port,0,10,10,67,Field,1
ns,49,54,Anonymous_3,Anonymous_3,0,10,50,112,Class,0
ns,50,55,public  Anonymous_3.Anonymous_3( Anonymous_3 & ),public  Anonymous_3.Anonymous_3( Anonymous_3 & ),0,10,0,86,Method,0
ns,51,56,public  Anonymous_3.void( void ),public  Anonymous_3.void( void ),0,0,0,87,Method,0
ns,52,76,public  Anonymous_3.entries,public  Anonymous_9.entries,0,10,9,67,Field,1
ns,53,62,Anonymous_4,Anonymous_4,0,110,0,71,Class,0
ns,54,67,public  Anonymous_4.Anonymous_4( Anonymous_4 & ),public  Anonymous_8.Anonymous_8( Anonymous_8 & ),36,46,10,48,Method,1
ns,55,68,public  Anonymous_4.void( void ),public  Anonymous_8.void( void ),0,10,10,67,Method,1
ns,56,45,public ProblemType Anonymous_4.active,public ProblemType Anonymous_2.active,0,10,10,67,Field,1
ns,57,46,public ProblemType Anonymous_4.canDefault,public ProblemType Anonymous_2.canDefault,0,10,10,67,Field,1
ns,58,47,public ProblemType Anonymous_4.curpos,public ProblemType Anonymous_2.curpos,0,10,10,67,Field,1
ns,59,48,public ProblemType Anonymous_4.depressed,public ProblemType Anonymous_2.depressed,0,10,10,67,Field,1
ns,60,49,public ProblemType Anonymous_4.disabled,public ProblemType Anonymous_2.disabled,0,10,10,67,Field,1
ns,61,50,public ProblemType Anonymous_4.focused,public ProblemType Anonymous_2.focused,0,10,20,66,Field,1
ns,62,51,public ProblemType Anonymous_4.inHover,public ProblemType Anonymous_2.inHover,0,10,10,67,Field,1
ns,63,52,public ProblemType Anonymous_4.isDefault,public ProblemType Anonymous_2.isDefault,0,10,10,67,Field,1
ns,64,53,public ProblemType Anonymous_4.maxpos,public ProblemType Anonymous_2.maxpos,0,10,10,67,Field,1
ns,65,63,Anonymous_5,Anonymous_5,0,70,0,77,Class,0
ns,66,74,public  Anonymous_5.Anonymous_5( Anonymous_5 & ),public  Anonymous_9.Anonymous_9( Anonymous_9 & ),36,46,9,48,Method,1
ns,67,75,public  Anonymous_5.void( void ),public  Anonymous_9.void( void ),0,10,9,67,Method,1
ns,68,57,public ProblemType Anonymous_5.min_slider_size,public ProblemType Anonymous_3.min_slider_size,0,10,10,67,Field,1
ns,69,58,public ProblemType Anonymous_5.slider_width,public ProblemType Anonymous_3.slider_width,0,10,10,67,Field,1
ns,70,59,public ProblemType Anonymous_5.stepper_size,public ProblemType Anonymous_3.stepper_size,0,10,10,67,Field,1
ns,71,60,public ProblemType Anonymous_5.stepper_spacing,public ProblemType Anonymous_3.stepper_spacing,0,10,10,67,Field,1
ns,72,61,public ProblemType Anonymous_5.trough_border,public ProblemType Anonymous_3.trough_border,0,10,10,67,Field,1
ns,73,64,Anonymous_6,Anonymous_6,0,0,0,87,Class,0
ns,74,65,Anonymous_7,Anonymous_7,0,0,0,87,Class,0
ns,75,66,Anonymous_8,Anonymous_8,0,0,60,78,Class,0
ns,76,77,ArgClosureTraits,ArgClosureTraits,0,0,0,155,Class,0
ns,77,78,private  ArgClosureTraits.ArgClosureTraits( ),private  ArgClosureTraits.ArgClosureTraits( ),0,0,10,86,Method,0
ns,78,79,public  ArgClosureTraits.ArgClosureTraits( ArgClosureTraits & ),public  ArgClosureTraits.ArgClosureTraits( ArgClosureTraits & ),0,10,0,86,Method,0
ns,79,80,public static ProblemType ArgClosureTraits.adj_slot( ProblemType * ProblemType ),public static ProblemType ArgClosureTraits.adj_slot( ProblemType * ProblemType ),0,0,0,87,Method,0
ns,80,81,public static ProblemType ArgClosureTraits.slots( ProblemType * ),public static ProblemType ArgClosureTraits.slots( ProblemType * ),0,0,0,87,Method,0
ns,81,82,BEGIN_CASE.,BEGIN_CASE.,0,0,0,87,Class,0
ns,82,83,BRANCH.,BRANCH.,0,0,0,87,Class,0
ns,83,84,BuildNativeFrameVisitor,BuildNativeFrameVisitor,0,0,10,239,Class,0
