"class","category"
ClosureVarInfo.resolveFlags,"Field"
ClosureVarInfo.slot,"Field"
CountSlotsVisitor,"Class"
CountSlotsVisitor.CountSlotsVisitor(CountSlotsVisitor &),"Method"
CountSlotsVisitor.CountSlotsVisitor(ProblemType *),"Method"
CountSlotsVisitor.CountSlotsVisitor(void),"Method"
CountSlotsVisitor.mStop,"Field"
CountSlotsVisitor.mDone,"Field"
CountSlotsVisitor.count(),"Method"
CountSlotsVisitor.stopped(),"Method"
CountSlotsVisitor.mCount,"Field"
CountSlotsVisitor.visitStackSlots(ProblemType *,ProblemType,ProblemType *),"Method"
DeadScript,"Class"
DeadScript.DeadScript(DeadScript &),"Method"
DeadScript.DeadScript(void),"Method"
DeadScript.jsdc,"Field"
DeadScript.links,"Field"
DeadScript.script,"Field"
DeadScript.gDeadScripts,"Class"
DefaultSlotMap,"Class"
DefaultSlotMap.DefaultSlotMap(DefaultSlotMap &),"Method"
DefaultSlotMap.DefaultSlotMap(ProblemType &),"Method"
DefaultSlotMap.visitStackSlots(ProblemType *,ProblemType,ProblemType *),"Method"
DetermineTypesVisitor,"Class"
DetermineTypesVisitor.DetermineTypesVisitor(DetermineTypesVisitor &),"Method"
DetermineTypesVisitor.DetermineTypesVisitor(ProblemType &,ProblemType *),"Method"
DetermineTypesVisitor.mRecorder,"Field"
DetermineTypesVisitor.mTypeMap,"Field"
DetermineTypesVisitor.visitGlobalSlot(ProblemType *,unsigned int int,unsigned int int),"Method"
DetermineTypesVisitor.visitStackSlots(ProblemType *,ProblemType,ProblemType *),"Method"
DetermineTypesVisitor.getTypeMap(),"Method"
DummyForGlobalFunctions,"Class"
DummyForGlobalFunctions.ALE_INDEX(),"Method"
DummyForGlobalFunctions.ALE_VALUE(),"Method"
DummyForGlobalFunctions.ATOM_KEY(),"Method"
DummyForGlobalFunctions.ATOM_LIST_SEARCH(),"Method"
DummyForGlobalFunctions.ATOM_TO_JSID(),"Method"
DummyForGlobalFunctions.ATOM_TO_STRING(),"Method"
DummyForGlobalFunctions.ActivateSSL(),"Method"
DummyForGlobalFunctions.Add(),"Method"
DummyForGlobalFunctions.AddAtomToArray(ProblemType *,ProblemType *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.AddAuthorizationHeaders(),"Method"
DummyForGlobalFunctions.AddBadCert(),"Method"
DummyForGlobalFunctions.AddBulletFrame(),"Method"
DummyForGlobalFunctions.AddCacheEntryHeaders(),"Method"
DummyForGlobalFunctions.AddCanvasBackgroundColorItem(),"Method"
DummyForGlobalFunctions.AddCookiesToRequest(),"Method"
DummyForGlobalFunctions.AddEventListenerByIID(),"Method"
DummyForGlobalFunctions.AddFrames(),"Method"
DummyForGlobalFunctions.AddInlineMinWidth(),"Method"
DummyForGlobalFunctions.AddInlinePrefWidth(),"Method"
DummyForGlobalFunctions.AddJumpTarget(AddJumpTargetArgs *,ProblemType * *),"Method"
DummyForGlobalFunctions.AddNewPeerToPeerList(ProblemType *,VMFragment *),"Method"
DummyForGlobalFunctions.AddNode(),"Method"
DummyForGlobalFunctions.AddObserver(),"Method"
DummyForGlobalFunctions.AddPath(),"Method"
DummyForGlobalFunctions.AddRequest(),"Method"
DummyForGlobalFunctions.AddScrollPositionListener(),"Method"
DummyForGlobalFunctions.AddSpanDep(ProblemType *,ProblemType *,ProblemType *,ProblemType *,ProblemType),"Method"
DummyForGlobalFunctions.AddStandardRequestHeaders(),"Method"
DummyForGlobalFunctions.AddStateBits(),"Method"
DummyForGlobalFunctions.AddSwitchSpanDeps(ProblemType *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.AddURI(),"Method"
DummyForGlobalFunctions.Adopt(),"Method"
DummyForGlobalFunctions.AdvanceToNextLine(),"Method"
DummyForGlobalFunctions.Alert(),"Method"
DummyForGlobalFunctions.AllocSrcNote(ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.Allocate(),"Method"
DummyForGlobalFunctions.AllocateArray(),"Method"
DummyForGlobalFunctions.AllocateDoubleFromReservedPool(ProblemType *),"Method"
DummyForGlobalFunctions.AllocateObjectAndArray(),"Method"
DummyForGlobalFunctions.AlreadyHasOwnProperty(ProblemType *,ProblemType *,ProblemType *),"Method"
