"class","category"
DummyForGlobalFunctions.JSD_GetPropertyName(),"Method"
DummyForGlobalFunctions.JSD_GetPropertyValue(),"Method"
DummyForGlobalFunctions.JSD_GetPropertyVarArgSlot(),"Method"
DummyForGlobalFunctions.JSD_GetScopeChainForStackFrame(),"Method"
DummyForGlobalFunctions.JSD_GetScriptCallCount(),"Method"
DummyForGlobalFunctions.JSD_GetScriptFilename(),"Method"
DummyForGlobalFunctions.JSD_GetScriptFlags(),"Method"
DummyForGlobalFunctions.JSD_GetScriptForStackFrame(),"Method"
DummyForGlobalFunctions.JSD_GetScriptForValue(),"Method"
DummyForGlobalFunctions.JSD_GetScriptMaxExecutionTime(),"Method"
DummyForGlobalFunctions.JSD_GetScriptMaxOwnExecutionTime(),"Method"
DummyForGlobalFunctions.JSD_GetScriptMaxRecurseDepth(),"Method"
DummyForGlobalFunctions.JSD_GetScriptMinExecutionTime(),"Method"
DummyForGlobalFunctions.JSD_GetScriptMinOwnExecutionTime(),"Method"
DummyForGlobalFunctions.JSD_GetScriptPrivate(),"Method"
DummyForGlobalFunctions.JSD_GetScriptTotalExecutionTime(),"Method"
DummyForGlobalFunctions.JSD_GetScriptTotalOwnExecutionTime(),"Method"
DummyForGlobalFunctions.JSD_GetStackFrame(),"Method"
DummyForGlobalFunctions.JSD_GetThisForStackFrame(),"Method"
DummyForGlobalFunctions.JSD_GetValueBoolean(),"Method"
DummyForGlobalFunctions.JSD_GetValueConstructor(),"Method"
DummyForGlobalFunctions.JSD_GetValueDouble(),"Method"
DummyForGlobalFunctions.JSD_GetValueForObject(),"Method"
DummyForGlobalFunctions.JSD_GetValueInt(),"Method"
DummyForGlobalFunctions.JSD_GetValueParent(),"Method"
DummyForGlobalFunctions.JSD_GetValueProperty(),"Method"
DummyForGlobalFunctions.JSD_GetValuePrototype(),"Method"
DummyForGlobalFunctions.JSD_GetValueString(),"Method"
DummyForGlobalFunctions.JSD_GetValueWrappedJSVal(),"Method"
DummyForGlobalFunctions.JSD_IsStackFrameConstructing(),"Method"
DummyForGlobalFunctions.JSD_IsStackFrameDebugger(),"Method"
DummyForGlobalFunctions.JSD_IsValueFunction(),"Method"
DummyForGlobalFunctions.JSD_IsValueNative(),"Method"
DummyForGlobalFunctions.JSD_IsValueNumber(),"Method"
DummyForGlobalFunctions.JSD_IsValueObject(),"Method"
DummyForGlobalFunctions.JSD_IsValuePrimitive(),"Method"
DummyForGlobalFunctions.JSD_IterateProperties(),"Method"
DummyForGlobalFunctions.JSD_IterateScripts(),"Method"
DummyForGlobalFunctions.JSD_LockScriptSubsystem(),"Method"
DummyForGlobalFunctions.JSD_NewValue(),"Method"
DummyForGlobalFunctions.JSD_RefreshValue(),"Method"
DummyForGlobalFunctions.JSD_SetContextFlags(),"Method"
DummyForGlobalFunctions.JSD_SetDebugBreakHook(),"Method"
DummyForGlobalFunctions.JSD_SetDebuggerHook(),"Method"
DummyForGlobalFunctions.JSD_SetErrorReporter(),"Method"
DummyForGlobalFunctions.JSD_SetExecutionHook(),"Method"
DummyForGlobalFunctions.JSD_SetFunctionHook(),"Method"
DummyForGlobalFunctions.JSD_SetInterruptHook(),"Method"
DummyForGlobalFunctions.JSD_SetScriptFlags(),"Method"
DummyForGlobalFunctions.JSD_SetScriptHook(),"Method"
DummyForGlobalFunctions.JSD_SetScriptPrivate(),"Method"
DummyForGlobalFunctions.JSD_SetThrowHook(),"Method"
DummyForGlobalFunctions.JSD_SetTopLevelHook(),"Method"
DummyForGlobalFunctions.JSD_UnlockScriptSubsystem(),"Method"
DummyForGlobalFunctions.JSFUN_BOUND_METHOD_TEST(),"Method"
DummyForGlobalFunctions.JSFUN_HEAVYWEIGHT_TEST(),"Method"
DummyForGlobalFunctions.JSID_BITS(),"Method"
DummyForGlobalFunctions.JSOp(),"Method"
DummyForGlobalFunctions.JSProtoKey(),"Method"
DummyForGlobalFunctions.JSREPORT_IS_STRICT(),"Method"
DummyForGlobalFunctions.JSREPORT_IS_STRICT_MODE_ERROR(),"Method"
DummyForGlobalFunctions.JSREPORT_IS_WARNING(),"Method"
DummyForGlobalFunctions.JSTN_ERRTYPE(),"Method"
DummyForGlobalFunctions.JSTraceType(),"Method"
DummyForGlobalFunctions.JSVAL_IS_BOOLEAN(),"Method"
DummyForGlobalFunctions.JSVAL_IS_DOUBLE(),"Method"
DummyForGlobalFunctions.JSVAL_IS_INT(),"Method"
DummyForGlobalFunctions.JSVAL_IS_NULL(),"Method"
DummyForGlobalFunctions.JSVAL_IS_NUMBER(),"Method"
DummyForGlobalFunctions.JSVAL_IS_OBJECT(),"Method"
DummyForGlobalFunctions.JSVAL_IS_PRIMITIVE(),"Method"
DummyForGlobalFunctions.JSVAL_IS_SPECIAL(),"Method"
DummyForGlobalFunctions.JSVAL_IS_STRING(),"Method"
DummyForGlobalFunctions.JSVAL_IS_VOID(),"Method"
DummyForGlobalFunctions.JSVAL_TAG(),"Method"
DummyForGlobalFunctions.JSVAL_TO_DOUBLE(),"Method"
DummyForGlobalFunctions.JSVAL_TO_INT(),"Method"
DummyForGlobalFunctions.JSVAL_TO_OBJECT(),"Method"
DummyForGlobalFunctions.JSVAL_TO_PRIVATE(),"Method"
DummyForGlobalFunctions.JSVAL_TO_SPECIAL(),"Method"
DummyForGlobalFunctions.JSVAL_TO_STRING(),"Method"
DummyForGlobalFunctions.JS_APPEND_LINK(),"Method"
DummyForGlobalFunctions.JS_ARENA_ALLOCATE_TYPE(),"Method"
DummyForGlobalFunctions.JS_ARENA_MARK(),"Method"
DummyForGlobalFunctions.JS_ARENA_RELEASE(),"Method"
DummyForGlobalFunctions.JS_ARGV(),"Method"
DummyForGlobalFunctions.JS_ARRAY_LENGTH(),"Method"
DummyForGlobalFunctions.JS_ASSERT(),"Method"
DummyForGlobalFunctions.JS_ASSERT_IF(),"Method"
DummyForGlobalFunctions.JS_ASSERT_NOT_ON_TRACE(),"Method"
DummyForGlobalFunctions.JS_ASSERT_REQUEST_DEPTH(),"Method"
DummyForGlobalFunctions.JS_AtomKey(),"Method"
DummyForGlobalFunctions.JS_BIT(),"Method"
DummyForGlobalFunctions.JS_CALL_OBJECT_TRACER(),"Method"
DummyForGlobalFunctions.JS_CallTracer(),"Method"
DummyForGlobalFunctions.JS_ClearAllTraps(),"Method"
DummyForGlobalFunctions.JS_ClearAllWatchPoints(),"Method"
DummyForGlobalFunctions.JS_ClearPendingException(),"Method"
DummyForGlobalFunctions.JS_ClearRegExpRoots(),"Method"
DummyForGlobalFunctions.JS_CompileUCFunction(),"Method"
DummyForGlobalFunctions.JS_CompileUCScript(),"Method"
DummyForGlobalFunctions.JS_ContextIterator(),"Method"
DummyForGlobalFunctions.JS_DHASH_ENTRY_IS_FREE(),"Method"
DummyForGlobalFunctions.JS_DHASH_TABLE_SIZE(),"Method"
DummyForGlobalFunctions.JS_DHashTableDestroy(),"Method"
DummyForGlobalFunctions.JS_DHashTableEnumerate(),"Method"
DummyForGlobalFunctions.JS_DHashTableFinish(),"Method"
DummyForGlobalFunctions.JS_DHashTableInit(),"Method"
DummyForGlobalFunctions.JS_DHashTableOperate(),"Method"
DummyForGlobalFunctions.JS_DHashTableRawRemove(),"Method"
DummyForGlobalFunctions.JS_DecompileFunction(),"Method"
DummyForGlobalFunctions.JS_DecompileFunctionBody(),"Method"
DummyForGlobalFunctions.JS_DecompileScript(),"Method"
DummyForGlobalFunctions.JS_DestroyIdArray(),"Method"
DummyForGlobalFunctions.JS_DestroyScript(),"Method"
DummyForGlobalFunctions.JS_FinishArenaPool(),"Method"
DummyForGlobalFunctions.JS_FreeArenaPool(),"Method"
DummyForGlobalFunctions.JS_FunctionHasLocalNames(),"Method"
DummyForGlobalFunctions.JS_GC(),"Method"
DummyForGlobalFunctions.JS_GetConstructor(),"Method"
DummyForGlobalFunctions.JS_GetContextPrivate(),"Method"
DummyForGlobalFunctions.JS_GetFunctionArgumentCount(),"Method"
DummyForGlobalFunctions.JS_GetFunctionLocalNameArray(),"Method"
DummyForGlobalFunctions.JS_GetFunctionObject(),"Method"
DummyForGlobalFunctions.JS_GetFunctionScript(),"Method"
DummyForGlobalFunctions.JS_GetGlobalForObject(),"Method"
DummyForGlobalFunctions.JS_GetGlobalObject(),"Method"
DummyForGlobalFunctions.JS_GetOptions(),"Method"
DummyForGlobalFunctions.JS_GetPendingException(),"Method"
DummyForGlobalFunctions.JS_GetReservedSlot(),"Method"
DummyForGlobalFunctions.JS_GetScriptLineExtent(),"Method"
DummyForGlobalFunctions.JS_GetScriptVersion(),"Method"
DummyForGlobalFunctions.JS_GetStringChars(),"Method"
DummyForGlobalFunctions.JS_GetStringLength(),"Method"
DummyForGlobalFunctions.JS_GetVersion(),"Method"
DummyForGlobalFunctions.JS_HAS_STRICT_OPTION(),"Method"
DummyForGlobalFunctions.JS_HAS_WERROR_OPTION(),"Method"
DummyForGlobalFunctions.JS_HOWMANY(),"Method"
DummyForGlobalFunctions.JS_HandleTrap(),"Method"
DummyForGlobalFunctions.JS_InitArenaPool(),"Method"
DummyForGlobalFunctions.JS_IsExceptionPending(),"Method"
DummyForGlobalFunctions.JS_IsRunning(),"Method"
DummyForGlobalFunctions.JS_LIKELY(),"Method"
DummyForGlobalFunctions.JS_LOCK_GC(),"Method"
DummyForGlobalFunctions.JS_LOCK_OBJ(),"Method"
DummyForGlobalFunctions.JS_LineNumberToPC(),"Method"
DummyForGlobalFunctions.JS_LocalNameToAtom(),"Method"
DummyForGlobalFunctions.JS_MAX(),"Method"
DummyForGlobalFunctions.JS_MIN(),"Method"
DummyForGlobalFunctions.JS_MaybeGC(),"Method"
DummyForGlobalFunctions.JS_NOTIFY_ALL_CONDVAR(),"Method"
DummyForGlobalFunctions.JS_NOT_REACHED(),"Method"
DummyForGlobalFunctions.JS_NewDHashTable(),"Method"
DummyForGlobalFunctions.JS_NewObject(),"Method"
DummyForGlobalFunctions.JS_NewStringCopyZ(),"Method"
DummyForGlobalFunctions.JS_Now(),"Method"
DummyForGlobalFunctions.JS_PCToLineNumber(),"Method"
DummyForGlobalFunctions.JS_REMOVE_LINK(),"Method"
DummyForGlobalFunctions.JS_ROTATE_LEFT32(),"Method"
DummyForGlobalFunctions.JS_RUNTIME_METER(),"Method"
DummyForGlobalFunctions.JS_RUNTIME_UNMETER(),"Method"
DummyForGlobalFunctions.JS_ReleaseFunctionLocalNameArray(),"Method"
DummyForGlobalFunctions.JS_ReportErrorFlagsAndNumber(),"Method"
DummyForGlobalFunctions.JS_ReportErrorNumber(),"Method"
DummyForGlobalFunctions.JS_ReportOutOfMemory(),"Method"
DummyForGlobalFunctions.JS_RestoreExceptionState(),"Method"
DummyForGlobalFunctions.JS_SET_BIT(),"Method"
DummyForGlobalFunctions.JS_SET_RVAL(),"Method"
DummyForGlobalFunctions.JS_SET_TRACING_NAME(),"Method"
DummyForGlobalFunctions.JS_STATIC_ASSERT(),"Method"
DummyForGlobalFunctions.JS_SaveExceptionState(),"Method"
DummyForGlobalFunctions.JS_SetGCCallbackRT(),"Method"
DummyForGlobalFunctions.JS_SetGlobalObject(),"Method"
DummyForGlobalFunctions.JS_SetOptions(),"Method"
DummyForGlobalFunctions.JS_SetVersion(),"Method"
DummyForGlobalFunctions.JS_TEST_BIT(),"Method"
DummyForGlobalFunctions.JS_THREAD_DATA(),"Method"
DummyForGlobalFunctions.JS_TRACE_MONITOR(),"Method"
DummyForGlobalFunctions.JS_UNLOCK_GC(),"Method"
DummyForGlobalFunctions.JS_UNLOCK_OBJ(),"Method"
DummyForGlobalFunctions.JS_UNLOCK_SCOPE(),"Method"
DummyForGlobalFunctions.JS_UPTRDIFF(),"Method"
DummyForGlobalFunctions.JS_WAIT_CONDVAR(),"Method"
DummyForGlobalFunctions.JS_free(),"Method"
DummyForGlobalFunctions.JS_malloc(),"Method"
DummyForGlobalFunctions.JS_realloc(),"Method"
DummyForGlobalFunctions.JS_snprintf(),"Method"
DummyForGlobalFunctions.JS_strdup(),"Method"
DummyForGlobalFunctions.JS_vsmprintf(),"Method"
DummyForGlobalFunctions.JT_CLR_TAG(),"Method"
DummyForGlobalFunctions.JT_HAS_TAG(),"Method"
DummyForGlobalFunctions.JT_OTHER_DIR(),"Method"
DummyForGlobalFunctions.JT_TO_BPDELTA(),"Method"
DummyForGlobalFunctions.JoinPeers(ProblemType *,ProblemType *,VMFragment *),"Method"
DummyForGlobalFunctions.KeyPress(),"Method"
DummyForGlobalFunctions.LL_DIV(),"Method"
DummyForGlobalFunctions.LL_I2L(),"Method"
DummyForGlobalFunctions.LL_L2I(),"Method"
DummyForGlobalFunctions.LOCKED_OBJ_GET_SLOT(),"Method"
DummyForGlobalFunctions.LOG(),"Method"
DummyForGlobalFunctions.LOpcode(),"Method"
DummyForGlobalFunctions.LanguagesMatch(ProblemType &,ProblemType &),"Method"
DummyForGlobalFunctions.Last(),"Method"
DummyForGlobalFunctions.LastChild(),"Method"
DummyForGlobalFunctions.LeavePresShell(),"Method"
DummyForGlobalFunctions.LeftRight(),"Method"
DummyForGlobalFunctions.Length(),"Method"
DummyForGlobalFunctions.LineHasClear(ProblemType *),"Method"
DummyForGlobalFunctions.LoadChromeSheetSync(),"Method"
DummyForGlobalFunctions.LogMessage(char *),"Method"
DummyForGlobalFunctions.LogMessageWithContext(nsIURI *,ProblemType,ProblemType,char *),"Method"
DummyForGlobalFunctions.LogStringMessage(),"Method"
DummyForGlobalFunctions.LoggingEnabled(),"Method"
DummyForGlobalFunctions.LookupCompileTimeConstant(ProblemType *,ProblemType *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.LookupLoop(ProblemType *,void *,ProblemType *,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.LookupOrAddLoop(ProblemType *,void *,ProblemType *,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.LookupProperty(ProblemType *,ProblemType *,char *,ProblemType,ProblemType * *,ProblemType * *),"Method"
DummyForGlobalFunctions.LookupPropertyById(ProblemType *,ProblemType *,ProblemType,ProblemType,ProblemType * *,ProblemType * *),"Method"
DummyForGlobalFunctions.LookupResult(ProblemType *,ProblemType *,ProblemType *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.LookupUCProperty(ProblemType *,ProblemType *,ProblemType *,ProblemType,ProblemType,ProblemType * *,ProblemType * *),"Method"
DummyForGlobalFunctions.LowerCaseEqualsLiteral(),"Method"
DummyForGlobalFunctions.MUST_FLOW_THROUGH(),"Method"
DummyForGlobalFunctions.MachoIdentifier(),"Method"
DummyForGlobalFunctions.MapAttributesIntoRule(ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.Mark(),"Method"
DummyForGlobalFunctions.MarkAllDescendantLinesDirty(ProblemType *),"Method"
DummyForGlobalFunctions.MarkDirty(),"Method"
DummyForGlobalFunctions.MarkFrameForDisplay(nsIFrame *,nsIFrame *),"Method"
DummyForGlobalFunctions.MarkFramesForDisplayList(),"Method"
DummyForGlobalFunctions.MarkLineDirty(),"Method"
DummyForGlobalFunctions.MarkObject(),"Method"
DummyForGlobalFunctions.MarkOutOfFlowFrameForDisplay(nsIFrame *,nsIFrame *,ProblemType &),"Method"
DummyForGlobalFunctions.MarkPreviousMarginDirty(),"Method"
DummyForGlobalFunctions.MarkSameSpaceManagerLinesDirty(ProblemType *),"Method"
DummyForGlobalFunctions.MarkSlotUndemotable(),"Method"
DummyForGlobalFunctions.MarkStackRangeConservatively(),"Method"
DummyForGlobalFunctions.MarkTreeInfo(ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.MarkValid(),"Method"
DummyForGlobalFunctions.MarkValueRange(),"Method"
DummyForGlobalFunctions.MaybeAppendElement(),"Method"
DummyForGlobalFunctions.MaybeEmitVarDecl(ProblemType *,ProblemType *,ProblemType,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.MaybeHandleError(),"Method"
DummyForGlobalFunctions.MaybeInterceptSpecialIOMessage(),"Method"
DummyForGlobalFunctions.MaybeInvalidateCacheEntryForSubsequentGet(),"Method"
DummyForGlobalFunctions.MaybeProcessDeferredIncall(),"Method"
DummyForGlobalFunctions.MediateRPCRace(),"Method"
DummyForGlobalFunctions.MergeTypeMaps(ProblemType * *,unsigned int int *,ProblemType *,unsigned int int,ProblemType *),"Method"
DummyForGlobalFunctions.Method(),"Method"
DummyForGlobalFunctions.MoveBy(),"Method"
DummyForGlobalFunctions.MoveViewTo(),"Method"
DummyForGlobalFunctions.Multiply(),"Method"
DummyForGlobalFunctions.MustValidate(),"Method"
DummyForGlobalFunctions.MustValidateBasedOnQueryUrl(),"Method"
DummyForGlobalFunctions.MustValidateIfExpired(),"Method"
DummyForGlobalFunctions.NSAppUnitsToFloatPixels(),"Method"
DummyForGlobalFunctions.NSToCoordRound(),"Method"
DummyForGlobalFunctions.NS_ABORT_IF_FALSE(),"Method"
DummyForGlobalFunctions.NS_ADDREF(),"Method"
DummyForGlobalFunctions.NS_ARRAY_LENGTH(),"Method"
DummyForGlobalFunctions.NS_ASSERTION(),"Method"
DummyForGlobalFunctions.NS_Alloc(),"Method"
DummyForGlobalFunctions.NS_CLAMP(),"Method"
DummyForGlobalFunctions.NS_CheckPortSafety(),"Method"
DummyForGlobalFunctions.NS_CycleCollectorForget(ProblemType *),"Method"
DummyForGlobalFunctions.NS_CycleCollectorSuspect(ProblemType *),"Method"
DummyForGlobalFunctions.NS_DEFINE_CID(),"Method"
DummyForGlobalFunctions.NS_DispatchToCurrentThread(),"Method"
DummyForGlobalFunctions.NS_ENSURE_ARG_POINTER(),"Method"
DummyForGlobalFunctions.NS_ENSURE_STATE(),"Method"
DummyForGlobalFunctions.NS_ENSURE_SUCCESS(),"Method"
DummyForGlobalFunctions.NS_ENSURE_TRUE(),"Method"
DummyForGlobalFunctions.NS_ERROR(),"Method"
DummyForGlobalFunctions.NS_EscapeURL(),"Method"
DummyForGlobalFunctions.NS_FAILED(),"Method"
DummyForGlobalFunctions.NS_FOR_VISIBLE_BACKGROUND_LAYERS_BACK_TO_FRONT(),"Method"
DummyForGlobalFunctions.NS_FRAME_IS_COMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_IS_FULLY_COMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_IS_NOT_COMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_IS_TRUNCATED(),"Method"
DummyForGlobalFunctions.NS_FRAME_MERGE_INCOMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_OVERFLOW_IS_INCOMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_SET_INCOMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_SET_OVERFLOW_INCOMPLETE(),"Method"
DummyForGlobalFunctions.NS_FRAME_SET_TRUNCATION(),"Method"
DummyForGlobalFunctions.NS_FRAME_TRACE(),"Method"
DummyForGlobalFunctions.NS_FRAME_TRACE_REFLOW_IN(),"Method"
DummyForGlobalFunctions.NS_FRAME_TRACE_REFLOW_OUT(),"Method"
DummyForGlobalFunctions.NS_FREE_XPCOM_ALLOCATED_POINTER_ARRAY(),"Method"
DummyForGlobalFunctions.NS_Free(),"Method"
DummyForGlobalFunctions.NS_GET_A(),"Method"
DummyForGlobalFunctions.NS_GetProxyForObject(),"Method"
DummyForGlobalFunctions.NS_IF_ADDREF(),"Method"
DummyForGlobalFunctions.NS_IF_RELEASE(),"Method"
DummyForGlobalFunctions.NS_INLINE_GET_BREAK_TYPE(),"Method"
DummyForGlobalFunctions.NS_INLINE_IS_BREAK(),"Method"
DummyForGlobalFunctions.NS_INLINE_IS_BREAK_AFTER(),"Method"
DummyForGlobalFunctions.NS_INLINE_IS_BREAK_BEFORE(),"Method"
DummyForGlobalFunctions.NS_INLINE_LINE_BREAK_BEFORE(),"Method"
DummyForGlobalFunctions.NS_ImplementChannelOpen(),"Method"
DummyForGlobalFunctions.NS_LITERAL_CSTRING(),"Method"
DummyForGlobalFunctions.NS_MAX(),"Method"
DummyForGlobalFunctions.NS_NAMED_LITERAL_CSTRING(),"Method"
DummyForGlobalFunctions.NS_NAMED_LITERAL_STRING(),"Method"
DummyForGlobalFunctions.NS_NOTREACHED(),"Method"
DummyForGlobalFunctions.NS_NOTYETIMPLEMENTED(),"Method"
DummyForGlobalFunctions.NS_NewAdoptingUTF8StringEnumerator(),"Method"
DummyForGlobalFunctions.NS_NewBlockFrame(ProblemType *,nsStyleContext *,ProblemType),"Method"
DummyForGlobalFunctions.NS_NewCanvasFrame(ProblemType *,nsStyleContext *),"Method"
DummyForGlobalFunctions.NS_NewContentIterator(),"Method"
DummyForGlobalFunctions.NS_NewHTMLElement(),"Method"
DummyForGlobalFunctions.NS_NewIsIndexFrame(ProblemType *,nsStyleContext *),"Method"
DummyForGlobalFunctions.NS_NewLineBox(),"Method"
DummyForGlobalFunctions.NS_NewNotificationCallbacksAggregation(),"Method"
DummyForGlobalFunctions.NS_NewRunnableMethod(),"Method"
DummyForGlobalFunctions.NS_NewSingletonEnumerator(),"Method"
DummyForGlobalFunctions.NS_NewSubDocumentFrame(ProblemType *,nsStyleContext *),"Method"
DummyForGlobalFunctions.NS_NewTextNode(),"Method"
DummyForGlobalFunctions.NS_NewURI(),"Method"
DummyForGlobalFunctions.NS_PRECONDITION(),"Method"
DummyForGlobalFunctions.NS_ProcessNextEvent(),"Method"
DummyForGlobalFunctions.NS_ProxyRelease(),"Method"
DummyForGlobalFunctions.NS_QueryAuthPrompt2(),"Method"
DummyForGlobalFunctions.NS_RELEASE(),"Method"
DummyForGlobalFunctions.NS_RELEASE_THIS(),"Method"
DummyForGlobalFunctions.NS_RGBA(),"Method"
DummyForGlobalFunctions.NS_RUNTIMEABORT(),"Method"
DummyForGlobalFunctions.NS_STYLE_INHERIT_BIT(),"Method"
DummyForGlobalFunctions.NS_SUCCEEDED(),"Method"
DummyForGlobalFunctions.NS_SecurityCompareURIs(),"Method"
DummyForGlobalFunctions.NS_UNLIKELY(),"Method"
DummyForGlobalFunctions.NS_URIChainHasFlags(),"Method"
DummyForGlobalFunctions.NS_UnescapeURL(),"Method"
DummyForGlobalFunctions.NS_WARNING(),"Method"
DummyForGlobalFunctions.NS_WARN_IF_FALSE(),"Method"
DummyForGlobalFunctions.NS_ceil(),"Method"
DummyForGlobalFunctions.NS_floor(),"Method"
DummyForGlobalFunctions.NS_round(),"Method"
DummyForGlobalFunctions.NS_strndup(),"Method"
DummyForGlobalFunctions.NameAtom(),"Method"
DummyForGlobalFunctions.NativeStackSlots(ProblemType *,unsigned int int),"Method"
DummyForGlobalFunctions.NativeToValue(ProblemType *,ProblemType &,ProblemType,double *),"Method"
DummyForGlobalFunctions.NativeToValueBase(ProblemType *,ProblemType &,ProblemType,double *),"Method"
DummyForGlobalFunctions.NativeToValueBase<FailDoubleOOMHandler>(),"Method"
DummyForGlobalFunctions.NativeToValueBase<ReserveDoubleOOMHandler>(),"Method"
DummyForGlobalFunctions.NeedsBackup(),"Method"
DummyForGlobalFunctions.NewChannel(),"Method"
DummyForGlobalFunctions.NewChannelFromURI(),"Method"
DummyForGlobalFunctions.NewFileURI(),"Method"
DummyForGlobalFunctions.NewIdArray(ProblemType *,ProblemType),"Method"
DummyForGlobalFunctions.NewLineBox(),"Method"
DummyForGlobalFunctions.NewProxiedChannel(),"Method"
DummyForGlobalFunctions.NewRunnableMethod(),"Method"
DummyForGlobalFunctions.NewTryNote(ProblemType *,ProblemType *,ProblemType,ProblemType,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.NewURI(),"Method"
DummyForGlobalFunctions.Next(),"Method"
DummyForGlobalFunctions.NextState(),"Method"
DummyForGlobalFunctions.NoCache(),"Method"
DummyForGlobalFunctions.NoStore(),"Method"
DummyForGlobalFunctions.NodeInfoManager(),"Method"
DummyForGlobalFunctions.NotEmpty(),"Method"
DummyForGlobalFunctions.NotifyCertProblem(),"Method"
DummyForGlobalFunctions.NotifyObservers(),"Method"
DummyForGlobalFunctions.NotifyOptionalBreakPosition(),"Method"
DummyForGlobalFunctions.NotifyWorkerThread(),"Method"
DummyForGlobalFunctions.NowInSeconds(),"Method"
DummyForGlobalFunctions.OBJECT_TO_JSVAL(),"Method"
DummyForGlobalFunctions.OBJ_BLOCK_COUNT(),"Method"
DummyForGlobalFunctions.OBJ_BLOCK_DEPTH(),"Method"
DummyForGlobalFunctions.OBJ_DROP_PROPERTY(),"Method"
DummyForGlobalFunctions.OBJ_GET_ATTRIBUTES(),"Method"
DummyForGlobalFunctions.OBJ_GET_CLASS(),"Method"
DummyForGlobalFunctions.OBJ_GET_PARENT(),"Method"
DummyForGlobalFunctions.OBJ_GET_PROPERTY(),"Method"
DummyForGlobalFunctions.OBJ_GET_PROTO(),"Method"
DummyForGlobalFunctions.OBJ_IS_ARRAY(),"Method"
DummyForGlobalFunctions.OBJ_IS_DENSE_ARRAY(),"Method"
DummyForGlobalFunctions.OBJ_IS_NATIVE(),"Method"
DummyForGlobalFunctions.OBJ_LOOKUP_PROPERTY(),"Method"
DummyForGlobalFunctions.OBJ_SCOPE(),"Method"
DummyForGlobalFunctions.OBJ_SET_BLOCK_DEPTH(),"Method"
DummyForGlobalFunctions.OBJ_TO_INNER_OBJECT(),"Method"
DummyForGlobalFunctions.OFFSET_TO_ATOM(),"Method"
DummyForGlobalFunctions.ObjectAt(),"Method"
DummyForGlobalFunctions.ObjectToIterator(ProblemType *,ProblemType,ProblemType *),"Method"
DummyForGlobalFunctions.ObtainIntrinsicSizeFrame(),"Method"
DummyForGlobalFunctions.Off(),"Method"
DummyForGlobalFunctions.OnAuthCancelled(),"Method"
DummyForGlobalFunctions.OnCall(),"Method"
DummyForGlobalFunctions.OnCallReceived(),"Method"
DummyForGlobalFunctions.OnChannelRedirect(),"Method"
DummyForGlobalFunctions.OnDataAvailable(),"Method"
DummyForGlobalFunctions.OnDoneReadingPartialCacheEntry(),"Method"
DummyForGlobalFunctions.OnError(),"Method"
DummyForGlobalFunctions.OnExamineCachedResponse(),"Method"
DummyForGlobalFunctions.OnExamineMergedResponse(),"Method"
DummyForGlobalFunctions.OnExamineResponse(),"Method"
DummyForGlobalFunctions.OnExecute(),"Method"
DummyForGlobalFunctions.OnExitedCxxStack(),"Method"
DummyForGlobalFunctions.OnForRuntime(),"Method"
DummyForGlobalFunctions.OnLinkClick(),"Method"
DummyForGlobalFunctions.OnMaybeDequeueOne(),"Method"
DummyForGlobalFunctions.OnModifyRequest(),"Method"
DummyForGlobalFunctions.OnNest(),"Method"
DummyForGlobalFunctions.OnProgress(),"Method"
DummyForGlobalFunctions.OnRedirect(),"Method"
DummyForGlobalFunctions.OnScriptCreated(),"Method"
DummyForGlobalFunctions.OnScriptDestroyed(),"Method"
DummyForGlobalFunctions.OnStartRequest(),"Method"
DummyForGlobalFunctions.OnStatus(),"Method"
DummyForGlobalFunctions.OnStopRequest(),"Method"
DummyForGlobalFunctions.OnTransportStatus(),"Method"
DummyForGlobalFunctions.Open(),"Method"
DummyForGlobalFunctions.OpenANSIFileDesc(),"Method"
DummyForGlobalFunctions.OpenCacheEntry(),"Method"
DummyForGlobalFunctions.OpenInputStream(),"Method"
DummyForGlobalFunctions.OpenNSPRFileDesc(),"Method"
DummyForGlobalFunctions.OpenOfflineCacheEntryForWriting(),"Method"
DummyForGlobalFunctions.OpenOutputStream(),"Method"
DummyForGlobalFunctions.OptimizeSpanDeps(ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.OptionsHasAnonFunFix(),"Method"
DummyForGlobalFunctions.OptionsHasXML(),"Method"
DummyForGlobalFunctions.PCHash(ProblemType *),"Method"
DummyForGlobalFunctions.PCVAL_IS_NULL(),"Method"
DummyForGlobalFunctions.PCVAL_IS_OBJECT(),"Method"
